ftu,BPB_1,BPB_2,BPB_3,BPB_4,BPB_5,DPR_1,DPR_2,DPR_3,DPR_4,DPR_5,HBR_1,HBR_2,HBR_3,HBR_4,HBR_5,KBB_1,KBB_2,KBB_3,KBB_4,KBB_5,MKR_1,MKR_2,MKR_3,MKR_4,MKR_5,PBS_1,PBS_2,PBS_3,PBS_4,PBS_5,PCB_1,PCB_2,PCB_3,PCB_4,PCB_5,PCC_1,PCC_2,PCC_3,PCC_4,PCC_5,PCR_1,PCR_2,PCR_3,PCR_4,PCR_5,PCW_1,PCW_2,PCW_3,PCW_4,PCW_5,PMB_1,PMB_2,PMB_3,PMB_4,PMB_5,POB_1,POB_2,POB_3,POC_1,POC_2,POC_3,POC_4,POC_5,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RTCC_1,RTCC_2,RTCC_3,RTCC_4,RTCC_5,RTCR_1,RTCR_2,RTCR_3,RTCR_4,RTCR_5,RTCS_1,RTCS_2,RTCS_3,RTCS_4,RTCS_5,SFMS_1,SFMS_2,SFMS_3,SFMS_4,SFMS_5,SQB_1,SQB_2,SQB_3,SQB_4,SQB_5,SWR_1,SWR_2,SWR_3,SWR_4,SWR_5
mede,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
samu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,NA,5.66,3.64,NA,2.08,NA,NA,NA,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cocr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,1.82,NA,NA,3.92,NA,2,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,1.89,NA,NA,NA,NA,NA,NA,5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oslu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,1.92,NA,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.82,NA,NA,1.92,NA,NA,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33
crypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,4.65,8.33,1.96,5.77,NA,1.92,7.41,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2.5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88,NA,NA,NA,NA,NA,NA,7.5,12.2,NA,NA,NA,22.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57,1.75,NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,7.35,10.77,NA,NA,NA,14.29,13.46,NA,NA,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76,12.73,3.45,NA,4
dili,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enbr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,2.33,1.27,6.58,NA,NA,NA,NA,NA,NA
